passenger_num,passenger_id,preference,assigned_seat,booked_flight,passed_security,arrival_time,joined_security,joined_boarding_queue,booked_flight_time
32,56,,24,Flight-807,1,2024-12-01 00:28:01,2024-12-01 00:38:01,2024-12-01 00:48:01,2024-11-30 20:48:01
33,112,,1,Flight-807,1,2024-12-01 00:38:01,2024-12-01 00:38:01,2024-12-01 00:48:01,2024-11-30 16:38:01
34,127,,9,Flight-807,1,2024-12-01 00:28:01,2024-12-01 00:38:01,2024-12-01 00:48:01,2024-11-30 18:18:01
35,192,,16,Flight-807,1,2024-12-01 00:38:01,2024-12-01 00:48:01,2024-12-01 00:48:01,2024-11-30 10:28:01
36,12,,8,Flight-807,1,2024-12-01 00:48:01,2024-12-01 00:48:01,2024-12-01 00:48:01,2024-11-30 22:58:01
37,52,,30,Flight-807,1,2024-12-01 00:48:01,2024-12-01 00:48:01,2024-12-01 00:48:01,2024-11-30 21:28:01
38,96,,20,Flight-807,1,2024-12-01 00:48:01,2024-12-01 00:48:01,2024-12-01 00:48:01,2024-11-30 19:48:01
39,138,,6,Flight-807,1,2024-12-01 00:48:01,2024-12-01 00:48:01,2024-12-01 00:48:01,2024-11-30 10:18:01
40,1,,3,Flight-807,1,2024-12-01 00:48:01,2024-12-01 00:48:01,2024-12-01 00:48:01,2024-11-30 19:18:01
41,179,,7,Flight-807,1,2024-12-01 00:58:01,2024-12-01 00:58:01,2024-12-01 00:58:01,2024-11-30 18:58:01
42,94,,7,Flight-937,1,2024-12-01 01:48:01,2024-12-01 01:58:01,2024-12-01 01:58:01,2024-11-30 22:28:01
43,134,,4,Flight-383,1,2024-12-01 01:48:01,2024-12-01 01:58:01,2024-12-01 01:58:01,2024-11-30 12:38:01
44,181,,6,Flight-937,1,2024-12-01 01:48:01,2024-12-01 01:58:01,2024-12-01 01:58:01,2024-11-30 22:38:01
45,70,,29,Flight-383,1,2024-12-01 01:58:01,2024-12-01 01:58:01,2024-12-01 01:58:01,2024-11-30 09:58:01
46,6,,22,Flight-937,1,2024-12-01 01:58:01,2024-12-01 01:58:01,2024-12-01 01:58:01,2024-11-30 16:38:01
47,154,,8,Flight-383,1,2024-12-01 01:48:01,2024-12-01 01:48:01,2024-12-01 01:58:01,2024-11-30 22:08:01
48,48,,2,Flight-937,1,2024-12-01 01:48:01,2024-12-01 01:48:01,2024-12-01 01:58:01,2024-11-30 15:08:01
49,32,,13,Flight-383,1,2024-12-01 01:48:01,2024-12-01 01:48:01,2024-12-01 01:58:01,2024-11-30 17:48:01
50,31,,32,Flight-937,1,2024-12-01 01:48:01,2024-12-01 01:48:01,2024-12-01 01:58:01,2024-11-30 12:48:01
51,4,,37,Flight-383,1,2024-12-01 01:48:01,2024-12-01 01:48:01,2024-12-01 01:58:01,2024-11-30 13:58:01
52,44,,10,Flight-937,1,2024-12-01 01:58:01,2024-12-01 01:58:01,2024-12-01 01:58:01,2024-11-30 19:18:01
53,28,,38,Flight-937,1,2024-12-01 01:58:01,2024-12-01 01:58:01,2024-12-01 02:08:01,2024-11-30 16:08:01
54,43,,18,Flight-383,1,2024-12-01 01:48:01,2024-12-01 01:48:01,2024-12-01 02:08:01,2024-11-30 19:18:01
55,109,,12,Flight-383,1,2024-12-01 01:48:01,2024-12-01 01:48:01,2024-12-01 02:08:01,2024-11-30 18:48:01
56,165,,16,Flight-383,1,2024-12-01 01:58:01,2024-12-01 01:58:01,2024-12-01 01:58:01,2024-11-30 16:18:01
57,188,,49,Flight-383,1,2024-12-01 01:48:01,2024-12-01 01:58:01,2024-12-01 02:08:01,2024-11-30 13:58:01
58,162,,15,Flight-937,1,2024-12-01 01:58:01,2024-12-01 02:08:01,2024-12-01 02:08:01,2024-11-30 23:38:01
59,24,,42,Flight-383,1,2024-12-01 01:48:01,2024-12-01 01:58:01,2024-12-01 02:08:01,2024-11-30 16:48:01
60,39,,3,Flight-937,1,2024-12-01 01:58:01,2024-12-01 02:08:01,2024-12-01 02:08:01,2024-11-30 22:08:01
61,85,,30,Flight-383,1,2024-12-01 01:48:01,2024-12-01 01:58:01,2024-12-01 02:08:01,2024-11-30 17:38:01
62,111,,25,Flight-383,1,2024-12-01 01:58:01,2024-12-01 02:08:01,2024-12-01 02:08:01,2024-11-30 18:08:01
63,14,,33,Flight-937,1,2024-12-01 02:08:01,2024-12-01 02:08:01,2024-12-01 02:08:01,2024-11-30 22:08:01
64,10,,14,Flight-383,1,2024-12-01 02:08:01,2024-12-01 02:08:01,2024-12-01 02:08:01,2024-12-01 00:18:01
65,62,,3,Flight-383,1,2024-12-01 02:08:01,2024-12-01 02:08:01,2024-12-01 02:08:01,2024-11-30 20:58:01
66,29,,21,Flight-937,1,2024-12-01 02:08:01,2024-12-01 02:08:01,2024-12-01 02:08:01,2024-11-30 16:48:01
67,156,,1,Flight-383,1,2024-12-01 02:08:01,2024-12-01 02:18:01,2024-12-01 02:18:01,2024-11-30 20:28:01
68,2,,9,Flight-383,1,2024-12-01 02:08:01,2024-12-01 02:08:01,2024-12-01 02:08:01,2024-11-30 15:58:01
69,113,,24,Flight-383,1,2024-12-01 02:08:01,2024-12-01 02:18:01,2024-12-01 02:18:01,2024-12-01 00:38:01
70,82,,31,Flight-937,1,2024-12-01 02:08:01,2024-12-01 02:08:01,2024-12-01 02:18:01,2024-12-01 00:08:01
71,105,,17,Flight-937,1,2024-12-01 02:08:01,2024-12-01 02:08:01,2024-12-01 02:18:01,2024-11-30 17:18:01
72,161,,48,Flight-383,1,2024-12-01 02:08:01,2024-12-01 02:18:01,2024-12-01 02:18:01,2024-11-30 22:28:01
73,8,,20,Flight-383,1,2024-12-01 02:18:01,2024-12-01 02:18:01,2024-12-01 02:18:01,2024-12-01 00:48:01
74,124,,21,Flight-383,1,2024-12-01 02:18:01,2024-12-01 02:18:01,2024-12-01 02:18:01,2024-11-30 19:58:01
75,180,,43,Flight-937,1,2024-12-01 02:18:01,2024-12-01 02:18:01,2024-12-01 02:18:01,2024-11-30 17:18:01
76,90,,34,Flight-455,1,2024-12-01 04:18:01,2024-12-01 04:18:01,2024-12-01 04:18:01,2024-12-01 01:48:01
77,49,,49,Flight-455,1,2024-12-01 04:18:01,2024-12-01 04:18:01,2024-12-01 04:18:01,2024-11-30 23:58:01
78,187,,19,Flight-455,1,2024-12-01 04:18:01,2024-12-01 04:18:01,2024-12-01 04:18:01,2024-11-30 10:58:01
79,34,,2,Flight-455,1,2024-12-01 04:18:01,2024-12-01 04:18:01,2024-12-01 04:18:01,2024-11-30 14:58:01
80,81,,31,Flight-455,1,2024-12-01 04:18:01,2024-12-01 04:18:01,2024-12-01 04:18:01,2024-12-01 00:58:01
81,16,,16,Flight-455,1,2024-12-01 04:08:01,2024-12-01 04:08:01,2024-12-01 04:18:01,2024-12-01 00:18:01
82,189,,8,Flight-455,1,2024-12-01 04:08:01,2024-12-01 04:08:01,2024-12-01 04:18:01,2024-12-01 00:38:01
83,107,,37,Flight-455,1,2024-12-01 04:18:01,2024-12-01 04:18:01,2024-12-01 04:18:01,2024-11-30 12:58:01
84,23,,20,Flight-455,1,2024-12-01 03:58:01,2024-12-01 03:58:01,2024-12-01 04:18:01,2024-12-01 02:18:01
85,110,,5,Flight-455,1,2024-12-01 04:18:01,2024-12-01 04:18:01,2024-12-01 04:18:01,2024-11-30 14:28:01
86,139,,1,Flight-455,1,2024-12-01 04:18:01,2024-12-01 04:18:01,2024-12-01 04:18:01,2024-11-30 21:28:01
87,120,,36,Flight-455,1,2024-12-01 04:18:01,2024-12-01 04:18:01,2024-12-01 04:18:01,2024-11-30 12:18:01
88,93,,9,Flight-455,1,2024-12-01 04:08:01,2024-12-01 04:08:01,2024-12-01 04:18:01,2024-12-01 00:38:01
89,103,,18,Flight-455,1,2024-12-01 04:08:01,2024-12-01 04:08:01,2024-12-01 04:18:01,2024-11-30 23:18:01
90,75,,3,Flight-455,1,2024-12-01 04:08:01,2024-12-01 04:08:01,2024-12-01 04:28:01,2024-11-30 11:58:01
91,53,,17,Flight-455,1,2024-12-01 04:18:01,2024-12-01 04:18:01,2024-12-01 04:28:01,2024-12-01 01:18:01
92,148,,38,Flight-455,1,2024-12-01 04:08:01,2024-12-01 04:08:01,2024-12-01 04:28:01,2024-12-01 02:58:01
93,175,,7,Flight-455,1,2024-12-01 04:18:01,2024-12-01 04:18:01,2024-12-01 04:28:01,2024-11-30 17:48:01
94,57,,43,Flight-455,1,2024-12-01 04:18:01,2024-12-01 04:28:01,2024-12-01 04:28:01,2024-12-01 02:28:01
95,69,,6,Flight-455,1,2024-12-01 04:08:01,2024-12-01 04:08:01,2024-12-01 04:28:01,2024-11-30 12:28:01
96,196,,22,Flight-455,1,2024-12-01 04:28:01,2024-12-01 04:28:01,2024-12-01 04:28:01,2024-11-30 14:38:01
97,33,,28,Flight-455,1,2024-12-01 04:08:01,2024-12-01 04:08:01,2024-12-01 04:18:01,2024-11-30 20:18:01
98,152,,46,Flight-455,1,2024-12-01 04:28:01,2024-12-01 04:28:01,2024-12-01 04:28:01,2024-12-01 01:58:01
99,177,,50,Flight-455,1,2024-12-01 04:18:01,2024-12-01 04:28:01,2024-12-01 04:28:01,2024-11-30 10:28:01
100,174,,10,Flight-455,1,2024-12-01 04:18:01,2024-12-01 04:28:01,2024-12-01 04:28:01,2024-11-30 10:48:01
101,97,,12,Flight-455,1,2024-12-01 04:28:01,2024-12-01 04:28:01,2024-12-01 04:28:01,2024-11-30 20:28:01
102,140,,35,Flight-455,1,2024-12-01 04:28:01,2024-12-01 04:28:01,2024-12-01 04:28:01,2024-11-30 13:38:01
103,99,,11,Flight-455,1,2024-12-01 04:28:01,2024-12-01 04:28:01,2024-12-01 04:28:01,2024-12-01 00:28:01
104,123,,13,Flight-455,1,2024-12-01 04:28:01,2024-12-01 04:28:01,2024-12-01 04:28:01,2024-11-30 22:18:01
105,106,,14,Flight-455,1,2024-12-01 04:28:01,2024-12-01 04:28:01,2024-12-01 04:38:01,2024-12-01 01:38:01
106,7,,4,Flight-455,1,2024-12-01 04:28:01,2024-12-01 04:28:01,2024-12-01 04:28:01,2024-11-30 19:48:01
107,55,,15,Flight-455,1,2024-12-01 04:28:01,2024-12-01 04:38:01,2024-12-01 04:38:01,2024-11-30 22:08:01
108,194,,32,Flight-766,1,2024-12-01 07:18:01,2024-12-01 07:18:01,2024-12-01 07:28:01,2024-11-30 21:38:01
109,185,,1,Flight-766,1,2024-12-01 07:18:01,2024-12-01 07:18:01,2024-12-01 07:28:01,2024-11-30 16:08:01
110,143,,18,Flight-766,1,2024-12-01 07:28:01,2024-12-01 07:28:01,2024-12-01 07:28:01,2024-11-30 20:58:01
111,137,,3,Flight-766,1,2024-12-01 07:18:01,2024-12-01 07:28:01,2024-12-01 07:28:01,2024-11-30 19:18:01
112,59,,8,Flight-766,1,2024-12-01 07:18:01,2024-12-01 07:18:01,2024-12-01 07:28:01,2024-12-01 02:08:01
113,153,,5,Flight-766,1,2024-12-01 07:28:01,2024-12-01 07:28:01,2024-12-01 07:28:01,2024-12-01 01:48:01
114,141,,25,Flight-766,1,2024-12-01 07:18:01,2024-12-01 07:18:01,2024-12-01 07:28:01,2024-11-30 22:38:01
115,51,,35,Flight-766,1,2024-12-01 07:28:01,2024-12-01 07:28:01,2024-12-01 07:28:01,2024-12-01 05:28:01
116,126,,11,Flight-766,1,2024-12-01 07:28:01,2024-12-01 07:28:01,2024-12-01 07:28:01,2024-11-30 14:08:01
117,84,,40,Flight-766,1,2024-12-01 07:28:01,2024-12-01 07:28:01,2024-12-01 07:28:01,2024-11-30 15:58:01
118,98,,27,Flight-766,1,2024-12-01 07:28:01,2024-12-01 07:28:01,2024-12-01 07:28:01,2024-12-01 05:18:01
119,63,,15,Flight-766,1,2024-12-01 07:28:01,2024-12-01 07:28:01,2024-12-01 07:28:01,2024-11-30 10:28:01
120,61,,7,Flight-766,1,2024-12-01 07:18:01,2024-12-01 07:18:01,2024-12-01 07:28:01,2024-12-01 00:18:01
121,104,,41,Flight-766,1,2024-12-01 07:18:01,2024-12-01 07:18:01,2024-12-01 07:28:01,2024-12-01 02:48:01
122,183,,33,Flight-766,1,2024-12-01 07:28:01,2024-12-01 07:28:01,2024-12-01 07:28:01,2024-12-01 04:58:01
123,163,,24,Flight-766,1,2024-12-01 07:18:01,2024-12-01 07:18:01,2024-12-01 07:28:01,2024-12-01 04:48:01
124,68,,14,Flight-766,1,2024-12-01 07:28:01,2024-12-01 07:28:01,2024-12-01 07:28:01,2024-12-01 03:18:01
125,157,,10,Flight-766,1,2024-12-01 07:28:01,2024-12-01 07:28:01,2024-12-01 07:28:01,2024-12-01 01:28:01
126,169,,47,Flight-766,1,2024-12-01 07:18:01,2024-12-01 07:18:01,2024-12-01 07:38:01,2024-11-30 12:28:01
127,121,,30,Flight-766,1,2024-12-01 07:28:01,2024-12-01 07:28:01,2024-12-01 07:28:01,2024-12-01 04:48:01
128,20,,13,Flight-766,1,2024-12-01 07:38:01,2024-12-01 07:38:01,2024-12-01 07:38:01,2024-12-01 02:58:01
129,115,,6,Flight-766,1,2024-12-01 07:28:01,2024-12-01 07:38:01,2024-12-01 07:38:01,2024-11-30 13:28:01
130,118,,36,Flight-766,1,2024-12-01 07:18:01,2024-12-01 07:18:01,2024-12-01 07:38:01,2024-11-30 14:28:01
131,114,,23,Flight-766,1,2024-12-01 07:38:01,2024-12-01 07:38:01,2024-12-01 07:38:01,2024-12-01 01:48:01
132,64,,37,Flight-766,1,2024-12-01 07:28:01,2024-12-01 07:28:01,2024-12-01 07:38:01,2024-11-30 11:58:01
133,65,,39,Flight-766,1,2024-12-01 07:38:01,2024-12-01 07:38:01,2024-12-01 07:38:01,2024-11-30 22:58:01
134,25,,17,Flight-766,1,2024-12-01 07:38:01,2024-12-01 07:38:01,2024-12-01 07:38:01,2024-11-30 14:28:01
135,18,,16,Flight-766,1,2024-12-01 07:38:01,2024-12-01 07:38:01,2024-12-01 07:38:01,2024-11-30 23:48:01
136,27,,48,Flight-766,1,2024-12-01 07:38:01,2024-12-01 07:38:01,2024-12-01 07:38:01,2024-12-01 03:28:01
137,119,,31,Flight-766,1,2024-12-01 07:38:01,2024-12-01 07:38:01,2024-12-01 07:38:01,2024-12-01 04:38:01
138,36,,9,Flight-766,1,2024-12-01 07:38:01,2024-12-01 07:38:01,2024-12-01 07:38:01,2024-11-30 12:48:01
139,79,,50,Flight-766,1,2024-12-01 07:38:01,2024-12-01 07:38:01,2024-12-01 07:38:01,2024-11-30 12:18:01
140,170,,22,Flight-766,1,2024-12-01 07:38:01,2024-12-01 07:48:01,2024-12-01 07:48:01,2024-11-30 22:08:01
141,142,,29,Flight-766,1,2024-12-01 07:38:01,2024-12-01 07:38:01,2024-12-01 07:38:01,2024-11-30 15:18:01
142,80,,19,Flight-766,1,2024-12-01 07:38:01,2024-12-01 07:38:01,2024-12-01 07:48:01,2024-12-01 01:28:01
143,129,,2,Flight-766,1,2024-12-01 07:38:01,2024-12-01 07:48:01,2024-12-01 07:48:01,2024-11-30 11:48:01
144,195,,42,Flight-766,1,2024-12-01 07:38:01,2024-12-01 07:38:01,2024-12-01 07:38:01,2024-12-01 00:28:01
145,67,,28,Flight-766,1,2024-12-01 07:38:01,2024-12-01 07:48:01,2024-12-01 07:48:01,2024-12-01 05:28:01
146,149,,20,Flight-766,1,2024-12-01 07:38:01,2024-12-01 07:48:01,2024-12-01 07:48:01,2024-11-30 10:48:01
147,146,,12,Flight-766,1,2024-12-01 07:38:01,2024-12-01 07:38:01,2024-12-01 07:48:01,2024-11-30 22:28:01
148,191,,38,Flight-766,1,2024-12-01 07:38:01,2024-12-01 07:48:01,2024-12-01 07:48:01,2024-12-01 03:28:01
149,102,,26,Flight-766,1,2024-12-01 07:38:01,2024-12-01 07:48:01,2024-12-01 07:48:01,2024-12-01 04:58:01
150,116,,45,Flight-766,1,2024-12-01 07:38:01,2024-12-01 07:48:01,2024-12-01 07:48:01,2024-11-30 21:38:01
151,172,,49,Flight-766,1,2024-12-01 07:38:01,2024-12-01 07:38:01,2024-12-01 07:48:01,2024-11-30 22:28:01
152,95,,4,Flight-766,1,2024-12-01 07:48:01,2024-12-01 07:48:01,2024-12-01 07:48:01,2024-11-30 21:28:01
153,89,,44,Flight-766,1,2024-12-01 07:48:01,2024-12-01 07:48:01,2024-12-01 07:48:01,2024-11-30 21:58:01
154,46,,30,Flight-969,1,2024-12-01 08:38:01,2024-12-01 08:38:01,2024-12-01 08:48:01,2024-11-30 11:08:01
155,130,,22,Flight-969,1,2024-12-01 08:38:01,2024-12-01 08:38:01,2024-12-01 08:48:01,2024-12-01 04:08:01
156,164,,11,Flight-969,1,2024-12-01 08:38:01,2024-12-01 08:38:01,2024-12-01 08:48:01,2024-12-01 03:38:01
157,26,,16,Flight-969,1,2024-12-01 08:38:01,2024-12-01 08:38:01,2024-12-01 08:48:01,2024-11-30 14:08:01
158,190,,12,Flight-969,1,2024-12-01 08:38:01,2024-12-01 08:48:01,2024-12-01 08:48:01,2024-12-01 03:38:01
159,66,,35,Flight-969,1,2024-12-01 08:38:01,2024-12-01 08:48:01,2024-12-01 08:48:01,2024-12-01 03:48:01
160,184,,8,Flight-969,1,2024-12-01 08:38:01,2024-12-01 08:48:01,2024-12-01 08:48:01,2024-12-01 05:18:01
161,144,,17,Flight-969,1,2024-12-01 08:48:01,2024-12-01 08:48:01,2024-12-01 08:48:01,2024-12-01 01:48:01
162,91,,48,Flight-969,1,2024-12-01 08:48:01,2024-12-01 08:48:01,2024-12-01 08:48:01,2024-12-01 01:58:01
163,9,,49,Flight-969,1,2024-12-01 08:48:01,2024-12-01 08:48:01,2024-12-01 08:48:01,2024-11-30 19:18:01
164,21,,9,Flight-969,1,2024-12-01 08:28:01,2024-12-01 08:28:01,2024-12-01 08:48:01,2024-12-01 02:48:01
165,38,,32,Flight-969,1,2024-12-01 08:48:01,2024-12-01 08:48:01,2024-12-01 08:48:01,2024-12-01 03:38:01
166,37,,33,Flight-969,1,2024-12-01 08:48:01,2024-12-01 08:48:01,2024-12-01 08:48:01,2024-12-01 05:48:01
167,135,,19,Flight-969,1,2024-12-01 08:38:01,2024-12-01 08:38:01,2024-12-01 08:48:01,2024-11-30 16:18:01
168,13,,24,Flight-969,1,2024-12-01 08:38:01,2024-12-01 08:38:01,2024-12-01 08:48:01,2024-11-30 14:28:01
169,199,,46,Flight-969,1,2024-12-01 08:38:01,2024-12-01 08:38:01,2024-12-01 08:48:01,2024-12-01 04:58:01
170,41,,36,Flight-969,1,2024-12-01 08:38:01,2024-12-01 08:38:01,2024-12-01 08:48:01,2024-12-01 01:38:01
171,133,,1,Flight-969,1,2024-12-01 08:28:01,2024-12-01 08:28:01,2024-12-01 08:48:01,2024-11-30 19:58:01
172,101,,45,Flight-969,1,2024-12-01 08:48:01,2024-12-01 08:48:01,2024-12-01 08:48:01,2024-12-01 05:48:01
173,47,,18,Flight-969,1,2024-12-01 08:48:01,2024-12-01 08:48:01,2024-12-01 08:48:01,2024-12-01 05:08:01
174,125,,7,Flight-969,1,2024-12-01 08:28:01,2024-12-01 08:28:01,2024-12-01 08:48:01,2024-11-30 15:38:01
175,167,,14,Flight-969,1,2024-12-01 08:38:01,2024-12-01 08:38:01,2024-12-01 08:48:01,2024-11-30 17:38:01
176,168,,13,Flight-969,1,2024-12-01 08:28:01,2024-12-01 08:28:01,2024-12-01 08:48:01,2024-12-01 01:28:01
177,11,,41,Flight-969,1,2024-12-01 08:38:01,2024-12-01 08:38:01,2024-12-01 08:48:01,2024-12-01 05:08:01
178,159,,25,Flight-969,1,2024-12-01 08:48:01,2024-12-01 08:48:01,2024-12-01 08:48:01,2024-12-01 03:18:01
179,171,,5,Flight-969,1,2024-12-01 08:48:01,2024-12-01 08:48:01,2024-12-01 08:48:01,2024-12-01 05:18:01
180,166,,42,Flight-969,1,2024-12-01 08:28:01,2024-12-01 08:28:01,2024-12-01 08:48:01,2024-12-01 03:28:01
181,22,,23,Flight-969,1,2024-12-01 08:48:01,2024-12-01 08:48:01,2024-12-01 08:48:01,2024-12-01 03:18:01
182,176,,28,Flight-969,1,2024-12-01 08:48:01,2024-12-01 08:48:01,2024-12-01 08:48:01,2024-12-01 01:38:01
183,145,,3,Flight-969,1,2024-12-01 08:48:01,2024-12-01 08:48:01,2024-12-01 08:48:01,2024-12-01 04:08:01
184,83,,50,Flight-969,1,2024-12-01 08:48:01,2024-12-01 08:48:01,2024-12-01 08:48:01,2024-11-30 10:38:01
185,182,,44,Flight-969,1,2024-12-01 08:28:01,2024-12-01 08:28:01,2024-12-01 08:48:01,2024-12-01 03:48:01
186,136,,15,Flight-969,1,2024-12-01 08:48:01,2024-12-01 08:48:01,2024-12-01 08:58:01,2024-11-30 15:08:01
187,17,,40,Flight-969,1,2024-12-01 08:48:01,2024-12-01 08:48:01,2024-12-01 08:48:01,2024-11-30 10:38:01
188,197,,31,Flight-969,1,2024-12-01 08:48:01,2024-12-01 08:58:01,2024-12-01 08:58:01,2024-12-01 04:58:01
189,147,,20,Flight-969,1,2024-12-01 08:48:01,2024-12-01 08:58:01,2024-12-01 08:58:01,2024-12-01 04:08:01
190,117,,2,Flight-969,1,2024-12-01 08:48:01,2024-12-01 08:58:01,2024-12-01 08:58:01,2024-12-01 01:48:01
191,58,,6,Flight-969,1,2024-12-01 08:58:01,2024-12-01 08:58:01,2024-12-01 08:58:01,2024-12-01 02:28:01
192,193,,39,Flight-969,1,2024-12-01 08:58:01,2024-12-01 08:58:01,2024-12-01 08:58:01,2024-11-30 15:48:01
193,42,,10,Flight-969,1,2024-12-01 08:58:01,2024-12-01 08:58:01,2024-12-01 08:58:01,2024-12-01 03:48:01
194,60,,4,Flight-969,1,2024-12-01 08:58:01,2024-12-01 08:58:01,2024-12-01 08:58:01,2024-11-30 12:58:01
195,72,,27,Flight-969,1,2024-12-01 08:58:01,2024-12-01 08:58:01,2024-12-01 08:58:01,2024-12-01 01:28:01
196,158,,29,Flight-969,1,2024-12-01 08:58:01,2024-12-01 08:58:01,2024-12-01 08:58:01,2024-11-30 11:58:01
197,151,,35,Flight-364,1,2024-11-30 11:53:02,2024-11-30 11:53:02,2024-11-30 11:53:02,2024-11-30 10:23:02
198,53,,23,Flight-681,1,2024-11-30 15:13:02,2024-11-30 15:13:02,2024-11-30 15:23:02,2024-11-30 12:53:02
199,119,,46,Flight-681,1,2024-11-30 15:13:02,2024-11-30 15:23:02,2024-11-30 15:23:02,2024-11-30 13:23:02
200,27,,33,Flight-681,1,2024-11-30 15:13:02,2024-11-30 15:23:02,2024-11-30 15:23:02,2024-11-30 12:23:02
201,136,,25,Flight-681,1,2024-11-30 15:13:02,2024-11-30 15:13:02,2024-11-30 15:23:02,2024-11-30 10:23:02
202,175,,32,Flight-681,1,2024-11-30 15:13:02,2024-11-30 15:13:02,2024-11-30 15:23:02,2024-11-30 12:33:02
203,147,,26,Flight-681,1,2024-11-30 15:03:02,2024-11-30 15:03:02,2024-11-30 15:23:02,2024-11-30 13:43:02
204,183,,21,Flight-681,1,2024-11-30 15:13:02,2024-11-30 15:13:02,2024-11-30 15:23:02,2024-11-30 12:13:02
205,128,,20,Flight-681,1,2024-11-30 15:23:02,2024-11-30 15:23:02,2024-11-30 15:23:02,2024-11-30 11:13:02
206,81,,2,Flight-681,1,2024-11-30 15:13:02,2024-11-30 15:13:02,2024-11-30 15:33:02,2024-11-30 12:33:02
207,18,,31,Flight-681,1,2024-11-30 15:03:02,2024-11-30 15:03:02,2024-11-30 15:33:02,2024-11-30 12:03:02
